..\Hed_Seg\data\RS_image_paper_vai\train\train_img\3558.tif,..\Hed_Seg\data\RS_image_paper_vai\train\train_dsm\3558.tif,..\Hed_Seg\data\RS_image_paper_vai\train\train_dis\3558.tif,..\Hed_Seg\data\RS_image_paper_vai\train\train_image_label\3558.tif,..\Hed_Seg\data\RS_image_paper_vai\train\train_edge_from_CB\3558.tif
..\Hed_Seg\data\RS_image_paper_vai\train\train_img\2476.tif,..\Hed_Seg\data\RS_image_paper_vai\train\train_dsm\2476.tif,..\Hed_Seg\data\RS_image_paper_vai\train\train_dis\2476.tif,..\Hed_Seg\data\RS_image_paper_vai\train\train_image_label\2476.tif,..\Hed_Seg\data\RS_image_paper_vai\train\train_edge_from_CB\2476.tif
..\Hed_Seg\data\RS_image_paper_vai\train\train_img\1162.tif,..\Hed_Seg\data\RS_image_paper_vai\train\train_dsm\1162.tif,..\Hed_Seg\data\RS_image_paper_vai\train\train_dis\1162.tif,..\Hed_Seg\data\RS_image_paper_vai\train\train_image_label\1162.tif,..\Hed_Seg\data\RS_image_paper_vai\train\train_edge_from_CB\1162.tif
..\Hed_Seg\data\RS_image_paper_vai\train\train_img\6662.tif,..\Hed_Seg\data\RS_image_paper_vai\train\train_dsm\6662.tif,..\Hed_Seg\data\RS_image_paper_vai\train\train_dis\6662.tif,..\Hed_Seg\data\RS_image_paper_vai\train\train_image_label\6662.tif,..\Hed_Seg\data\RS_image_paper_vai\train\train_edge_from_CB\6662.tif
..\Hed_Seg\data\RS_image_paper_vai\train\train_img\5221.tif,..\Hed_Seg\data\RS_image_paper_vai\train\train_dsm\5221.tif,..\Hed_Seg\data\RS_image_paper_vai\train\train_dis\5221.tif,..\Hed_Seg\data\RS_image_paper_vai\train\train_image_label\5221.tif,..\Hed_Seg\data\RS_image_paper_vai\train\train_edge_from_CB\5221.tif
..\Hed_Seg\data\RS_image_paper_vai\train\train_img\1096.tif,..\Hed_Seg\data\RS_image_paper_vai\train\train_dsm\1096.tif,..\Hed_Seg\data\RS_image_paper_vai\train\train_dis\1096.tif,..\Hed_Seg\data\RS_image_paper_vai\train\train_image_label\1096.tif,..\Hed_Seg\data\RS_image_paper_vai\train\train_edge_from_CB\1096.tif
..\Hed_Seg\data\RS_image_paper_vai\train\train_img\7121.tif,..\Hed_Seg\data\RS_image_paper_vai\train\train_dsm\7121.tif,..\Hed_Seg\data\RS_image_paper_vai\train\train_dis\7121.tif,..\Hed_Seg\data\RS_image_paper_vai\train\train_image_label\7121.tif,..\Hed_Seg\data\RS_image_paper_vai\train\train_edge_from_CB\7121.tif
..\Hed_Seg\data\RS_image_paper_vai\train\train_img\769.tif,..\Hed_Seg\data\RS_image_paper_vai\train\train_dsm\769.tif,..\Hed_Seg\data\RS_image_paper_vai\train\train_dis\769.tif,..\Hed_Seg\data\RS_image_paper_vai\train\train_image_label\769.tif,..\Hed_Seg\data\RS_image_paper_vai\train\train_edge_from_CB\769.tif
..\Hed_Seg\data\RS_image_paper_vai\train\train_img\8047.tif,..\Hed_Seg\data\RS_image_paper_vai\train\train_dsm\8047.tif,..\Hed_Seg\data\RS_image_paper_vai\train\train_dis\8047.tif,..\Hed_Seg\data\RS_image_paper_vai\train\train_image_label\8047.tif,..\Hed_Seg\data\RS_image_paper_vai\train\train_edge_from_CB\8047.tif
..\Hed_Seg\data\RS_image_paper_vai\train\train_img\7039.tif,..\Hed_Seg\data\RS_image_paper_vai\train\train_dsm\7039.tif,..\Hed_Seg\data\RS_image_paper_vai\train\train_dis\7039.tif,..\Hed_Seg\data\RS_image_paper_vai\train\train_image_label\7039.tif,..\Hed_Seg\data\RS_image_paper_vai\train\train_edge_from_CB\7039.tif
